City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
305,Saldanha,ZA,87.85,Clear : clear sky,-33.0117,17.9442,Blue Bay Lodge
308,Berbera,SO,76.95,Clouds : broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
314,Cap Malheureux,MU,80.47,Clouds : overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
318,Sinnamary,GF,79.12,Rain : light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
319,Pandan,PH,76.6,Clouds : overcast clouds,14.0453,124.1694,Bonifacio Lodge
320,Luganville,VU,78.64,Clouds : overcast clouds,-15.5333,167.1667,The Espiritu Hotel
322,Cockburn Town,TC,78.76,Clouds : scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
325,Carutapera,BR,80.37,Clouds : overcast clouds,-1.195,-46.02,Lidera
332,Manoel Urbano,BR,82.8,Clouds : overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
333,Vilhena,BR,84.42,Clouds : broken clouds,-12.7406,-60.1458,Hotel Mirage
336,San Policarpo,PH,80.1,Clouds : overcast clouds,12.1791,125.5072,Agapita M. Nicart
337,Quatre Cocos,MU,80.1,Rain : light rain,-20.2078,57.7625,Sunrise Attitude Hotel
338,Kieta,PG,80.22,Clouds : overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
339,Harper,LR,81.82,Clouds : broken clouds,4.375,-7.7169,Screensaver
341,Panaba,MX,76.77,Clouds : broken clouds,21.2833,-88.2667,Hotel California
342,Mtwara,TZ,79.12,Clouds : overcast clouds,-10.2667,40.1833,TIL Hotels Mtwara
343,Marapanim,BR,79.16,Rain : light rain,-0.7175,-47.6997,Ecomangue Pousada
350,Sao Miguel Do Tapuio,BR,87.87,Clouds : broken clouds,-5.5036,-41.3233,Hotel Tropical
351,Touros,BR,88.7,Clouds : few clouds,-5.1989,-35.4608,INN NEW HORIZON
356,Zamora,EC,83.44,Rain : moderate rain,-4.0692,-78.9567,Cabañas Ecológicas Copalinga
359,Pimenta Bueno,BR,82.78,Clouds : overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
362,Meulaboh,ID,75.97,Clouds : overcast clouds,4.1363,96.1285,Kost Pria
