City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
168,Nanortalik,GL,60.1432,-45.2371,14.05,58,17,24.65,Clouds : few clouds
169,Albesti,RO,47.7,27.0667,39.94,71,97,11.23,Clouds : overcast clouds
170,Kulhudhuffushi,MV,6.6221,73.07,80.55,71,57,12.33,Clouds : broken clouds
171,Gusau,NG,12.1628,6.6614,77.04,14,27,10.27,Clouds : scattered clouds
172,Kasulu,TZ,-4.5767,30.1025,64.0,92,100,0.92,Clouds : overcast clouds
173,Sokolo,ML,14.7328,-6.1219,85.03,7,0,6.87,Clear : clear sky
174,Kavieng,PG,-2.5744,150.7967,80.92,78,78,4.97,Rain : light rain
175,Provideniya,RU,64.3833,-173.3,-5.82,85,3,11.63,Clear : clear sky
176,Monrovia,LR,6.3005,-10.7969,87.57,70,11,12.64,Clouds : few clouds
177,Ambilobe,MG,-13.2,49.05,74.62,93,98,6.73,Rain : light rain
178,Georgetown,MY,5.4112,100.3354,81.9,85,20,0.0,Clouds : few clouds
179,Pasni,PK,25.2631,63.471,72.05,76,30,10.31,Clouds : scattered clouds
180,Colesberg,ZA,-30.72,25.0972,76.42,28,25,7.63,Clouds : scattered clouds
181,Ponta Do Sol,PT,32.6667,-17.1,73.13,39,2,12.57,Clear : clear sky
182,Peniche,PT,39.3558,-9.3811,60.28,80,12,16.2,Clouds : few clouds
183,Ostrovnoy,RU,68.0531,39.5131,16.18,83,100,32.01,Clouds : overcast clouds
184,Puri,IN,19.8,85.85,61.32,59,37,3.49,Clouds : scattered clouds
185,Marsa Matruh,EG,31.3525,27.2453,57.4,67,40,11.5,Clouds : scattered clouds
186,Airai,TL,-8.9266,125.4092,60.48,92,82,2.17,Clouds : broken clouds
187,Salalah,OM,17.0151,54.0924,71.71,79,1,3.0,Clear : clear sky
188,Palmer,US,42.1584,-72.3287,25.29,59,40,3.0,Clouds : scattered clouds
189,Rio Brilhante,BR,-21.8019,-54.5464,84.88,62,97,6.69,Clouds : overcast clouds
190,Hauterive,FR,46.0901,3.4459,43.56,83,6,1.05,Clear : clear sky
191,San Vicente,AR,-26.6167,-54.1333,69.73,92,100,3.83,Rain : light rain
192,Anadyr,RU,64.75,177.4833,-1.7,71,0,11.18,Clear : clear sky
193,Avera,US,33.194,-82.5271,49.91,43,20,7.85,Clouds : few clouds
194,Saint Anthony,US,45.0205,-93.218,13.78,61,75,8.01,Clouds : broken clouds
195,Shu,KZ,43.5983,73.7614,33.08,38,0,4.29,Clear : clear sky
196,Shadegan,IR,30.6497,48.6647,58.95,40,0,7.94,Clear : clear sky
197,Sandwick,GB,60.0,-1.25,39.02,75,75,36.82,Clouds : broken clouds
198,Osa,RU,57.2829,55.4567,22.23,93,100,4.63,Clouds : overcast clouds
199,Veraval,IN,20.9,70.3667,67.12,67,4,6.82,Clear : clear sky
200,Victoria,HK,22.2855,114.1577,61.25,83,99,1.01,Clouds : overcast clouds
201,Mackay,AU,-21.15,149.2,73.69,83,75,12.66,Clouds : broken clouds
202,Borogontsy,RU,62.6683,131.1683,-40.02,100,81,1.3,Clouds : broken clouds
203,Tuktoyaktuk,CA,69.4541,-133.0374,-32.8,68,20,9.22,Clouds : few clouds
204,Concordia,AR,-31.393,-58.0209,88.57,28,0,14.58,Clear : clear sky
205,Khatanga,RU,71.9667,102.5,-33.34,100,86,1.36,Clouds : overcast clouds
206,Pisco,PE,-13.7,-76.2167,71.02,78,38,9.22,Mist : mist
207,Englewood,US,39.6478,-104.9878,50.63,37,75,1.99,Clouds : broken clouds
208,Arroyos Y Esteros,PY,-25.0667,-57.1,82.15,96,100,2.51,Clouds : overcast clouds
209,Jumla,NP,29.2747,82.1838,26.56,77,26,5.06,Clouds : scattered clouds
210,La Orilla,MX,17.9833,-102.2333,82.36,51,1,6.08,Clear : clear sky
211,Beringovskiy,RU,63.05,179.3167,-9.18,92,78,14.52,Clouds : broken clouds
212,Zhuhai,CN,22.2769,113.5678,60.98,77,20,14.97,Clouds : few clouds
213,Kizukuri,JP,40.8061,140.3861,26.11,63,100,11.68,Snow : snow
214,Awjilah,LY,29.1081,21.2869,58.32,46,0,3.31,Clear : clear sky
215,Ossora,RU,59.2353,163.0719,13.84,89,100,13.44,Clouds : overcast clouds
216,Two Rivers,US,44.1539,-87.5693,19.0,67,100,1.99,Clouds : overcast clouds
217,San Patricio,US,28.017,-97.5169,46.49,34,1,5.3,Clear : clear sky
218,Fort William,GB,56.8165,-5.1121,40.78,89,100,11.25,Clouds : overcast clouds
219,Innisfail,AU,-17.5333,146.0333,74.53,90,99,4.07,Clouds : overcast clouds
220,Souillac,MU,-20.5167,57.5167,80.37,89,75,14.97,Rain : light intensity shower rain
221,Sisimiut,GL,66.9395,-53.6735,2.01,93,98,12.86,Snow : light snow
222,Biak,ID,-0.9131,122.8766,75.9,85,100,2.21,Clouds : overcast clouds
223,Mongoumba,CF,3.6415,18.5936,80.53,19,100,2.44,Clouds : overcast clouds
224,Oranjemund,NA,-28.55,16.4333,67.37,76,40,6.96,Clouds : scattered clouds
225,Bengkulu,ID,-3.8004,102.2655,74.41,95,100,8.86,Rain : heavy intensity rain
226,Constitucion,CL,-35.3333,-72.4167,71.83,55,1,16.55,Clear : clear sky
227,Union De Tula,MX,19.9667,-104.2667,76.77,23,31,4.09,Clouds : scattered clouds
228,Sweetwater,US,25.7634,-80.3731,82.02,66,75,1.99,Clouds : broken clouds
229,Florianopolis,BR,-27.6146,-48.5012,90.25,73,20,12.66,Clouds : few clouds
230,Sarh,TD,9.1429,18.3923,87.71,16,0,6.91,Clear : clear sky
231,Hamilton,US,39.1834,-84.5333,24.98,73,40,1.01,Clouds : scattered clouds
232,Rocha,UY,-34.4833,-54.3333,76.57,66,73,13.22,Clouds : broken clouds
233,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,16.39,62,0,8.95,Clear : clear sky
234,Cognac,FR,45.5,-0.25,49.6,62,20,8.05,Clouds : few clouds
235,Shelburne,CA,44.0787,-80.2041,14.67,75,29,5.88,Clouds : scattered clouds
236,La Reforma,MX,25.0833,-108.05,76.75,39,50,2.73,Clouds : scattered clouds
237,Shitanjing,CN,39.2342,106.3439,14.52,38,90,4.97,Clouds : overcast clouds
238,Kuytun,RU,54.3419,101.5036,19.33,94,100,7.38,Snow : light snow
239,Vestmannaeyjar,IS,63.4427,-20.2734,31.19,40,0,6.91,Clear : clear sky
240,Same,TZ,-4.0667,37.7333,73.6,69,100,1.68,Rain : light rain
241,Mareeba,AU,-17.0,145.4333,72.32,95,100,2.86,Clouds : overcast clouds
242,Murray Bridge,AU,-35.1167,139.2667,73.69,65,84,1.43,Clouds : broken clouds
243,Krasnyy Yar,RU,46.5331,48.3456,30.13,78,95,13.8,Clouds : overcast clouds
244,Karratha,AU,-20.7377,116.8463,84.69,72,66,6.8,Clouds : broken clouds
245,Baykit,RU,61.67,96.37,12.9,97,100,4.74,Clouds : overcast clouds
246,Pevek,RU,69.7008,170.3133,-27.98,99,22,3.18,Clouds : few clouds
247,Bongor,TD,10.2806,15.3722,79.65,14,91,6.29,Clouds : overcast clouds
248,Richards Bay,ZA,-28.783,32.0377,72.99,82,99,10.2,Rain : light rain
249,Payson,US,40.0444,-111.7321,40.03,55,40,0.0,Clouds : scattered clouds
250,Tuatapere,NZ,-46.1333,167.6833,50.83,88,19,2.28,Clouds : few clouds
251,Wanparti,IN,16.3667,78.0667,70.68,28,26,8.79,Clouds : scattered clouds
252,Svetlaya,RU,46.5389,138.3297,6.26,74,94,10.94,Clouds : overcast clouds
253,San Blas,MX,21.5167,-105.2667,82.29,52,75,6.89,Clouds : broken clouds
254,Flin Flon,CA,54.7682,-101.865,-13.16,70,75,5.75,Clouds : broken clouds
255,Ilulissat,GL,69.2167,-51.1,6.82,51,75,16.11,Clouds : broken clouds
256,Akdepe,TM,42.0551,59.3788,44.69,84,100,11.5,Clouds : overcast clouds
257,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,93.36,29,13,8.52,Clouds : few clouds
258,Chicama,PE,-7.8447,-79.1469,66.74,56,66,9.91,Clouds : broken clouds
259,Lazaro Cardenas,MX,17.9583,-102.2,82.06,53,2,5.39,Clear : clear sky
260,Guerrero Negro,MX,27.9769,-114.0611,64.13,26,0,2.91,Clear : clear sky
261,Manta,EC,-0.95,-80.7333,82.18,74,75,6.91,Clouds : broken clouds
